Study Identifier,Study Repository ,Strain,Additional Phenotypic Model,Age at Study Start ,Age at Collection or Euthanization,Animal Supplier,Weight Range,Group or Individual Housing,Germ-free or Conventional Housing,Bedding Type ,Cage Cleaning Frequency,Cage Type,Environmental Control: Temperature,Environmental Control: Humidity,Light Cycle,Diet,ab lib or Restricted Diet,Tap or Purified Water,Use of Anesthesia,Anesthesia Time,Anesthesia Dose,Acclimation Duration to Experimental Facility,Number of Groups,Sex,Inclusion Criteria,Treatment,Treatment Dose,Treatment Duration,Treatment Route,Treatment Vehicle,Fasting Status,Fasting Duration,Euthanasia Method,Biofluid or Tissue,Tissue Processing,Body Weights or Food Consumption  ,Volume or Quantity of Sample Collection,Sample Storage Temperature,Sample Storage Duration,Collection Time,Location of Sample Collection,Anticoagulant,Collection Method,Collection Frequency,Collection Duration,Bacteriostatic Agent,Temperature of Collection Tube
ST000034,Metabolomics Workbench,1,,,1,,,,,1,,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,,,,,,,
ST000035,Metabolomics Workbench,1,,,1,,,,,1,,,,,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,
ST000036,Metabolomics Workbench,1,,,1,,,,,1,,,,,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,
ST000037,Metabolomics Workbench,1,,,1,,,,,1,,,,,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,
ST000038,Metabolomics Workbench,1,,,1,,,,,1,,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,,,,,,,
ST000039,Metabolomics Workbench,1,,,1,,,,,1,,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,,,,,,,
ST000056,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,
ST000069,Metabolomics Workbench,,,,1,,,,,,,,,,,1,,,,,,,1,,,1,,1,,,,,,1,,,,1,,1,,,,,,,
ST000070,Metabolomics Workbench,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,
ST000071,Metabolomics Workbench,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,
ST000074,Metabolomics Workbench,1,,,1,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,
ST000075,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
ST000083,Metabolomics Workbench,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,1,,1,1,1,1,1,,,1,1,,1,,,,,,,
ST000090,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,
ST000095,Metabolomics Workbench,,,1,1,,,,,,,,,,,1,,,,,,,1,,,1,1,1,1,1,,,,1,,,,,,1,,,,,,,
ST000099,Metabolomics Workbench,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,1,,1,1,,1,1,,,
ST000115,Metabolomics Workbench,1,,1,,1,,1,,,,,,,1,,1,,1,,,1,1,1,,1,,,1,,,,1,1,,,,,,1,,,,,,,
ST000121,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,1,1,1,,,,1,,1,,,,,,,
ST000133,Metabolomics Workbench,1,,1,1,,,1,,,,,1,1,1,1,1,,,,,,1,1,,1,,,,,,,1,1,1,,,1,,1,,,,,,,
ST000135,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,1,1,,,1,,,,,,,,,
ST000160,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ST000169,Metabolomics Workbench,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,
ST000171,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST000176,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
ST000182,Metabolomics Workbench,1,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,
ST000188,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,1,,,,,,,,,,,,,
ST000192,Metabolomics Workbench,1,,1,1,1,,1,,,,,,,1,1,1,,,,,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,
ST000193,Metabolomics Workbench,1,,1,1,,,,,,,,,,,1,,,,,,,1,,,1,,1,,,1,1,1,1,,,,1,,,,,,,,,
ST000194,Metabolomics Workbench,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,
ST000195,Metabolomics Workbench,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
ST000198,Metabolomics Workbench,1,,,1,1,,,,,,,,,1,,,,,,,,1,1,,1,,1,,,1,1,,1,,,,,,1,,,,,,,
ST000201,Metabolomics Workbench,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
ST000203,Metabolomics Workbench,1,,,,1,,,1,,,,,,,1,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,
ST000206,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
ST000207,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
ST000213,Metabolomics Workbench,1,,,,1,,,1,,,,,,,1,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,
ST000215,Metabolomics Workbench,1,,,1,,,,,,,,,,1,,,,,,,,1,1,,1,,,,,1,1,1,1,,,,1,,1,,,,,,,
ST000222,Metabolomics Workbench,1,,1,1,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,1,1,,1,,,,,,,
ST000224,Metabolomics Workbench,1,,1,1,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,1,1,,1,,,,,,,
ST000225,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,,,,,1,,,,,,,,,,,,,
ST000226,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,,,,,1,,,,,,,,,,,,,
ST000232,Metabolomics Workbench,1,,1,1,,,,,,,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,1,1,,1,,,,,,,
ST000233,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,
ST000245,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
ST000257,Metabolomics Workbench,,,1,1,,,,,,,,,,,1,1,,,,,,1,,,1,1,1,,1,,,,1,1,,,1,,1,,,,,,,
ST000261,Metabolomics Workbench,1,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,,,,1,1,1,,,1,,,,,,,,,
ST000272,Metabolomics Workbench,1,,1,1,,,1,,,,,,,1,1,,,,,,,1,1,,,,,,,1,,,1,,,,,,,,,,,,,
ST000274,Metabolomics Workbench,1,,1,1,1,,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
ST000296,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,,,,1,,,,,,,
ST000299,Metabolomics Workbench,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,,,1,,,,,,,,,
ST000304,Metabolomics Workbench,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,1,,,,,,1,,,,,,,
ST000310,Metabolomics Workbench,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,
ST000313,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,1,,,,,,,,
ST000316,Metabolomics Workbench,1,,1,1,1,,,,,,,1,1,1,1,1,,,,,1,1,1,,1,,,,,,,1,1,,,,,,1,,,,,,,
ST000321,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,,,,1,,,,,,,
ST000330,Metabolomics Workbench,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
ST000331,Metabolomics Workbench,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
ST000332,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,,1,,,,,,,
ST000338,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,
ST000352,Metabolomics Workbench,1,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,1,,1,,,,,,,
ST000354,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,
ST000371,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,,1,,1,,,,,,,
ST000419,Metabolomics Workbench,1,,1,1,,,,,,,,,,,1,,,,,,,1,1,,1,,1,,,,,1,1,1,,,,,,,,,,,,
ST000425,Metabolomics Workbench,1,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,1,1,,,1,,,,,,,,,
ST000426,Metabolomics Workbench,1,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,1,1,,,1,,,,,,,,,
ST000427,Metabolomics Workbench,1,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,1,1,,,1,,,,,,,,,
ST000428,Metabolomics Workbench,1,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,1,1,,,1,,,,,,,,,
ST000451,Metabolomics Workbench,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,1,1,1,,1,,,,,,,,,,
ST000452,Metabolomics Workbench,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,1,1,1,,1,,,,,,,,,,
ST000510,Metabolomics Workbench,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,,,,,,,
